id,entityType,name,clinicName,vetName,address,city,province,phone,website,lat,lng,services,species,specialties,sourceType,sourceUrl,sourceCollectedAt,lastVerifiedAt,profileStatus,verificationStatus,onlineBookingStatus,isPublished,marketingConsent,outreachStatus,internalNotes,rawLabel
dir_8be42da9ac7ada0a,clinic,Ambulatorio Veterinario Dr.Fabio Testa,Ambulatorio Veterinario Dr.Fabio Testa,,,,,,,45.94368,9.12742,,,,anagrafe_strutture_poi,https://www.fnovi.it/cantoni/StruttureVeterinarie.ov2,2026-07-09,,needs_review,not_verified,disabled,false,false,not_contacted,,Ambulatorio Veterinario Dr.Fabio Testa
dir_25e772612c850009,clinic,Centro Medico Veterinario tradate,Centro Medico Veterinario tradate,,,,,,,45.73154,8.88711,,,,anagrafe_strutture_poi,https://www.fnovi.it/cantoni/StruttureVeterinarie.ov2,2026-07-09,,needs_review,not_verified,disabled,false,false,not_contacted,,Centro Medico Veterinario tradate
dir_d911b6c856acb2e6,clinic,Ambulatorio Veterinario Dr.mMssimo dD mMrtino,Ambulatorio Veterinario Dr.mMssimo dD mMrtino,,,,,,,38.12491,13.35831,,,,anagrafe_strutture_poi,https://www.fnovi.it/cantoni/StruttureVeterinarie.ov2,2026-07-09,,needs_review,not_verified,disabled,false,false,not_contacted,,Ambulatorio Veterinario Dr.mMssimo dD mMrtino
dir_89309b4ef73c5039,clinic,Veterinario Carvico,Veterinario Carvico,,,,,,,45.70370,9.47920,,,,anagrafe_strutture_poi,https://www.fnovi.it/cantoni/StruttureVeterinarie.ov2,2026-07-09,,needs_review,not_verified,disabled,false,false,not_contacted,,Veterinario Carvico
dir_395525d36006dbf8,clinic,Ars Medica Veterinaria,Ars Medica Veterinaria,,,,,,,37.09483,15.27129,,,,anagrafe_strutture_poi,https://www.fnovi.it/cantoni/StruttureVeterinarie.ov2,2026-07-09,,needs_review,not_verified,disabled,false,false,not_contacted,,Ars Medica Veterinaria
dir_f6696e2749dac140,clinic,Ambulatorio Veterinario Dr Barelli Dr Razza,Ambulatorio Veterinario Dr Barelli Dr Razza,,,,,,,45.45494,9.16147,,,,anagrafe_strutture_poi,https://www.fnovi.it/cantoni/StruttureVeterinarie.ov2,2026-07-09,,needs_review,not_verified,disabled,false,false,not_contacted,,Ambulatorio Veterinario Dr Barelli Dr Razza
dir_b163e0ec36ae78c6,clinic,Ambulatorio Veterinario Dott.Ssa Claudia Scabrosetti,Ambulatorio Veterinario Dott.Ssa Claudia Scabrosetti,,,,,,,45.09378,9.21384,,,,anagrafe_strutture_poi,https://www.fnovi.it/cantoni/StruttureVeterinarie.ov2,2026-07-09,,needs_review,not_verified,disabled,false,false,not_contacted,,Ambulatorio Veterinario Dott.Ssa Claudia Scabrosetti
dir_f4fe43faec423cd3,clinic,Ambulatorio Veterinario Di Casarini Dr.gGoacchino,Ambulatorio Veterinario Di Casarini Dr.gGoacchino,,,,,,,44.46804,11.37306,,,,anagrafe_strutture_poi,https://www.fnovi.it/cantoni/StruttureVeterinarie.ov2,2026-07-09,,needs_review,not_verified,disabled,false,false,not_contacted,,Ambulatorio Veterinario Di Casarini Dr.gGoacchino
dir_ba2588e89bbdbed1,clinic,Studio Veterinario Dott.sSa vVlentina dDria,Studio Veterinario Dott.sSa vVlentina dDria,,,,,,,44.39805,8.27423,,,,anagrafe_strutture_poi,https://www.fnovi.it/cantoni/StruttureVeterinarie.ov2,2026-07-09,,needs_review,not_verified,disabled,false,false,not_contacted,,Studio Veterinario Dott.sSa vVlentina dDria
dir_1cc4421f8833c2d1,clinic,Ambulatorio Veterinario,Ambulatorio Veterinario,,,,,,,44.49524,11.31480,,,,anagrafe_strutture_poi,https://www.fnovi.it/cantoni/StruttureVeterinarie.ov2,2026-07-09,,needs_review,not_verified,disabled,false,false,not_contacted,,Ambulatorio Veterinario
dir_f68aee616e816b6a,clinic,Ambulatorio Veterinario,Ambulatorio Veterinario,,,,,,,40.79103,17.24162,,,,anagrafe_strutture_poi,https://www.fnovi.it/cantoni/StruttureVeterinarie.ov2,2026-07-09,,needs_review,not_verified,disabled,false,false,not_contacted,,Ambulatorio Veterinario
dir_7186242ed6e0b6ab,clinic,Centro Veterinario Animali Da Compagnia,Centro Veterinario Animali Da Compagnia,,,,,,,40.79473,14.53615,,,,anagrafe_strutture_poi,https://www.fnovi.it/cantoni/StruttureVeterinarie.ov2,2026-07-09,,needs_review,not_verified,disabled,false,false,not_contacted,,Centro Veterinario Animali Da Compagnia
dir_d5e09e37dea9dd9b,clinic,Ambulatorio Veterinario,Ambulatorio Veterinario,,,,,,,45.53240,9.27892,,,,anagrafe_strutture_poi,https://www.fnovi.it/cantoni/StruttureVeterinarie.ov2,2026-07-09,,needs_review,not_verified,disabled,false,false,not_contacted,,Ambulatorio Veterinario
dir_d750d7ad5415e9a0,clinic,Servizio Veterinario Domiciliare,Servizio Veterinario Domiciliare,,,,,,,45.50019,9.14790,,,,anagrafe_strutture_poi,https://www.fnovi.it/cantoni/StruttureVeterinarie.ov2,2026-07-09,,needs_review,not_verified,disabled,false,false,not_contacted,,Servizio Veterinario Domiciliare
dir_05e967cb9fd5549b,clinic,Ambulatorio Veterinario,Ambulatorio Veterinario,,,,,,,44.86586,11.50944,,,,anagrafe_strutture_poi,https://www.fnovi.it/cantoni/StruttureVeterinarie.ov2,2026-07-09,,needs_review,not_verified,disabled,false,false,not_contacted,,Ambulatorio Veterinario
dir_dc80a765e6a80917,clinic,Ambulatorio Veterinario spazio Animali,Ambulatorio Veterinario spazio Animali,,,,,,,41.05070,14.33175,,,,anagrafe_strutture_poi,https://www.fnovi.it/cantoni/StruttureVeterinarie.ov2,2026-07-09,,needs_review,not_verified,disabled,false,false,not_contacted,,Ambulatorio Veterinario spazio Animali
dir_9403913eeae40e30,clinic,Ambulatorio Veterinario,Ambulatorio Veterinario,,,,,,,46.40213,13.01423,,,,anagrafe_strutture_poi,https://www.fnovi.it/cantoni/StruttureVeterinarie.ov2,2026-07-09,,needs_review,not_verified,disabled,false,false,not_contacted,,Ambulatorio Veterinario
